date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-17,09:34:00,"#OnThisDay in 2011, Japan became the first Asian team to win the @FIFAWWC! ??????

The victory came four months after the Great East Japan earthquake, securing a special place in the hearts of the Japanese people and uniting the nation in a time of recovery ??",Tournament window,,euro2024_domain,onthisday japan became first asian team win victory came four months after great east japan earthquake securing special place hearts japanese people uniting nation time recovery,"#OnThisDay in 2011, Japan became the first Asian team to win the @user! ?????? The victory came four months after the Great East Japan earthquake, securing a special place in the hearts of the Japanese people and uniting the nation in a time of recovery ??"
2024-07-17,09:41:00,"How do you feel about today's performance of $BEER on #Binance?
binance.com/en/price/beers

?? $BEER CA: 0xd533fa739d24871108cD868064b71D9c705a5126

??Chart: dex.guru/token/bsc/0xd533fa7",Tournament window,,euro2024_domain,how feel about today performance beer binance binance com price beers beer chart dex guru token bsc,How do you feel about today's performance of $BEER on #Binance? binance.com/en/price/beers ?? $BEER CA: 0xd533fa739d24871108cD868064b71D9c705a5126 ??Chart: dex.guru/token/bsc/0xd533fa7
2024-07-17,09:42:00,"?? #WednesdayVibe ft. @Fenerbahce-Transfer @CenkTosun_ bei der #EURO2024. ?

@MilliTakimlar | @Fenerbahce_EN",Tournament window,,euro2024_domain,wednesdayvibe transfer bei der euro,?? #WednesdayVibe ft. @user-Transfer @user bei der #EURO2024. ? @user | @user
2024-07-17,09:46:00,"Lamine just taking it all in ??

#EURO2024",Tournament window,,euro2024_domain,lamine just taking all euro,Lamine just taking it all in ?? #EURO2024
2024-07-17,10:02:00,"?? Behind the scenes

#UECL",Tournament window,,euro2024_domain,behind scenes uecl,?? Behind the scenes #UECL
2024-07-17,10:05:00,"?? #EURO2024 Highlights ??

?? Florian #Wirtz für das #DFBTeam in #GERSCO. ??

@DFB_Team | @bayer04fussball",Tournament window,,euro2024_domain,euro highlights florian wirtz das dfbteam gersco,?? #EURO2024 Highlights ?? ?? Florian #Wirtz fr das #DFBTeam in #GERSCO. ?? @user | @user
2024-07-17,10:07:00,"Flo opened #Euro2024 with a bang! ??????

#Bayer04 #InternationalWerkself | #Wirtz",Tournament window,,euro2024_domain,flo opened euro bang bayer internationalwerkself wirtz,Flo opened #Euro2024 with a bang! ?????? #Bayer04 #InternationalWerkself | #Wirtz
2024-07-17,10:35:00,"The beauty of this assist ??

#UCL",Tournament window,,euro2024_domain,beauty assist ucl,The beauty of this assist ?? #UCL
2024-07-17,10:49:00,"?? #EURO2024 Highlights ??

???? Breel #Embolo in #HUNSUI. ??????

@nati_sfv_asf | @AS_Monaco",Tournament window,,euro2024_domain,euro highlights breel embolo hunsui,?? #EURO2024 Highlights ?? ???? Breel #Embolo in #HUNSUI. ?????? @user | @user
2024-07-17,10:53:00,"Oblak's penalty save ????

#EURO2024",Tournament window,,euro2024_domain,oblak penalty save euro,Oblak's penalty save ???? #EURO2024
2024-07-17,11:00:00,"Luisão defending ??

#UEL",Tournament window,,euro2024_domain,luis defending uel,Luiso defending ?? #UEL
2024-07-17,11:01:00,"Robin Koch ??

#HBD || #UECL",Tournament window,,euro2024_domain,robin koch hbd uecl,Robin Koch ?? #HBD || #UECL
2024-07-17,11:14:00,"Today at T2 Delhi Airport, a gentleman in his late 60s had a heart attack in the food court area. 

This lady Doctor revived him in 5 mins.

Super proud of Indian doctors.

Please share this so that she can be acknowledged.",Tournament window,,euro2024_domain,today delhi airport gentleman late heart attack food court area lady doctor revived mins super proud indian doctors please share can acknowledged,"Today at T2 Delhi Airport, a gentleman in his late 60s had a heart attack in the food court area. This lady Doctor revived him in 5 mins. Super proud of Indian doctors. Please share this so that she can be acknowledged."
